,STZ1,STZ2,STZ3,STZ4,STZ5,STZ6,STZ7,STZ8,STZ9,STZ10,STZ11,STZ12,STZ13,STZ14,STZ15,STZ16,STZ17,STZ18,STZ19,STZ20,STZ21,STZ22,STZ23,STZ24,STZ25
turbidity,1.304747586682233,1.1177643066410645,0.8206987561630998,0.6371929261357849,1.194320418122672,1.1626419424938226,1.2660331878092421,1.1040674141320947,1.1624779321568302,1.1738797827287635,0.5759108113876654,1.030025971405134,0.9828684219456374,1.0652140776039947,0.9725313839580916,0.8361796132063543,1.0420432847599936,0.9098307829588134,1.061114805596075,1.0100195550547328,0.8422229562829793,0.8824511896790797,1.3175410701375776,1.2074135705397548,1.1768601414591446
ss,0.8530466893832429,1.1861614571306318,1.005646016402838,0.8038688752047534,0.9167185367520696,1.0219138771057579,0.9430257794713409,1.2124206257739507,0.7902518415204688,0.6017672232700497,0.96967314979666,1.0831893996384858,0.8366609212838856,1.0149558600430861,0.9664820605683627,1.2118403773702737,1.3419103589315469,1.0279763100646726,0.9101308658838146,0.8230437709531718,1.2749874297089472,1.0334161467299394,1.0861028300650142,0.9539175767684627,0.7123209166506241
sd,0.8341404898705657,0.873399336650028,0.8787100435755728,1.2535759151715056,1.1040925258459833,0.9721805723555967,0.9580601618157746,0.7227158060555936,0.9245518710115534,0.9176076813048633,0.6810474544841862,1.157284109273965,1.3843678156912018,1.3579507809053046,1.1905852542794377,0.598600992551041,1.3480323467574546,0.7413542184462334,1.200555545157243,1.0360931169170775,1.013976925577553,1.413980696757463,1.3249859032876372,0.4392646000196928,0.7575004823028244
do,0.8566469634464235,0.8429399607953405,0.8512077706062284,0.9345390306016325,1.1545404101912502,0.9848329376710181,1.0120336807496815,1.2020495980791892,1.1498510142594025,1.0155311943672398,0.42709731023874176,1.1534892163600072,0.730334808356915,0.8895343422858073,1.005003761143108,0.873345952332579,0.8883512747812468,0.929369568033324,1.1675873556305838,0.6945073647490618,0.838239464002228,1.0446695222008155,1.1429335515364836,0.47902348346091117,1.0459999413107797
codmn,1.2879770593789175,1.103218642743757,1.135002972320846,0.8557500632470117,0.5635869430073952,1.157062355251049,1.0216682229639478,0.9689276073060975,1.1435884551396591,1.0253981470508349,0.733470207972373,1.0288854198467294,1.174762553545046,1.009289835077667,1.048832799625602,1.0931605898008108,0.7870958081980186,1.1333172860271634,1.026253331102305,1.2928871436895044,1.1008571906070506,0.8959154916436314,1.1459293966442043,1.0765864757493677,1.363286718786135
codcr,0.5145105042476805,1.1433404597662031,0.9361688015079673,0.8502966084586587,1.14840190923765,1.2596667081276884,1.4731489589859896,1.1969095887758925,1.0147173334828776,1.185069362873326,1.0427255458466638,0.8988209881785696,0.8001333197084763,1.000980282127339,0.8324283035951799,1.006832452156846,1.1410963715824742,0.7651895005179918,0.7970999238216816,1.3143440317157602,1.1022421394415942,1.1312433931164265,0.7943532351466596,1.161508555885118,0.729394008987014
chla,0.934156501121573,0.7310781281934684,0.9559139000843869,0.7923514087010067,0.6010791547144876,0.9259752496641671,1.0393901344227066,0.9855287790859817,0.9303557932228131,1.0642079576632641,1.3382149315694907,0.9725850026187148,0.711669458057143,1.0564043653383663,1.1305678183177585,0.8193195970722147,0.9711527534524512,0.8823224955279293,1.1389957271946494,1.0445382390812648,1.186254190684312,1.032116906551087,0.9495609946302819,0.6811087844326698,1.2780332367233718
tn,1.0961607569172576,0.7940945507386424,0.7259003658139217,0.6770917162921837,1.3103593401314337,0.9825739397892188,0.9370599505441051,0.7457122388541864,1.2640384913605258,1.4365012719167378,0.7502795995750295,0.9346118942282295,0.9010189142542335,1.040446676063051,1.2058714889834483,1.016890022980728,1.24441567006504,0.9539408439520451,1.0602881629110903,0.8491264952068052,1.012289149559579,1.0547176087349885,0.8047738476305809,0.9882252690226282,0.6121614036122824
tp,1.0067650909355956,1.1518653371363825,1.1606205179115587,0.9261694114119752,1.0697901456467434,0.8426735899049179,1.1668262504666331,1.1312411914214413,0.610443219326313,1.0121823308767948,1.1595449559986382,0.6284516410930243,1.2161279415448587,0.9205165108949223,1.134891524620317,0.8414474928990565,0.7923181236701297,0.824997988043443,0.6002088402980477,0.9032018897619318,1.1665628307964508,0.8426835449132555,1.0435253687811106,1.073211562225788,1.0042632972270613
chroma,0.7268688021525771,1.2822034079816873,1.0248295586289664,0.760199169247537,0.9797774776378504,0.9666365266370527,0.8606055846790922,1.3260817420601645,0.7286135062290168,0.548423938456369,1.38625435566767,1.1612709704725055,0.9052843888915783,1.0587989371222806,1.2556638547456602,0.8855040881197789,0.9773611688560243,0.8125726089803758,1.238817143017546,0.8726755383293509,0.7960554192309601,0.9448529061146634,1.1241797345109839,0.7121368759704405,0.7366344898778667
nh3n,1.2334222080843056,1.1051751432080834,0.9701153227446733,1.3698377534086117,0.9854107311536692,1.0486382723823229,1.019480310175242,1.0094109119483612,0.8043871280487674,1.0224454848448268,0.4530477201712969,0.9948772460813463,0.9481693734765919,0.55630330561689,0.9422646474382329,0.7539404031267605,0.7763559551835071,0.9950991816237288,1.1782095854486074,0.8217024246076907,0.8778709832986971,0.9971425221006365,1.0041421704172677,1.1415835184110592,0.9304053920042261
