,turbidity,ss,sd,do,codmn,codcr,chla,tn,tp,chroma,nh3n
STZ1,-0.05227938693841159,0.13306103864960703,-0.11794802961262099,0.0705308556369783,0.20061947573911412,0.039793847761609824,-0.0731425030224955,-0.06267702651185862,-0.10670769177712153,-0.12680593576387242,-0.21768880244695918
STZ2,0.011491242091800623,-0.09508597036535957,0.028471628345705914,0.1711735399398314,-0.09270619116549532,0.011055330964872559,0.007025704192292118,0.07520528267234536,0.037425473274022465,0.13051868663080374,0.034297806047487764
STZ3,-0.019128302482192282,0.08742597299142285,0.0891079367857748,0.09229064711544047,-0.030792573753209537,0.014964532327425856,0.0011672103064945191,0.041431693293063926,0.018963224716992903,0.057237746065366114,0.10716549490370496
STZ4,0.09110542945706551,-0.16310100243952586,0.12814202885975523,-0.1326288820209451,-0.04329454255332585,-0.02548836118610789,0.012584196716136989,-0.0008961673705800009,-0.03536847850284772,-0.10545371172691848,-0.04085674447426168
STZ5,-0.15861768200476478,-0.03344680166629349,-0.05659845065373667,-0.09275142167331349,0.01603078536457464,-0.021710470464220307,-0.06479302154416774,0.07395670627717504,-0.05588512768759155,0.09472706430905353,-0.1716237581586986
STZ6,0.010204950631000773,0.12662090869445827,0.000834266946844112,-0.043975185943218476,-0.10680189387924799,-0.011343407945613435,0.0691566487233353,0.19260024895140893,-0.13253933390515046,-0.09526992527981915,-0.05321134990891072
STZ7,-0.16190946052680208,-0.0021845599299392935,-0.13291500824927305,0.04617911723254063,-0.049623154824146996,-0.006458880907850757,0.05087677663001053,-0.14826750921772947,-0.015475113924746285,0.03645791878212836,-0.23552879890459733
STZ8,-0.08948235216032806,0.11610326778676434,-0.039037834601524185,0.19337140069222813,0.052491009415353077,-0.008140535395315325,-0.027278317606680914,0.140442307560154,0.08177020227598131,-0.06968343212358913,0.19337791633148194
STZ9,0.12198086748434159,0.018755079901597013,-0.04519805031437313,-0.03031774182414007,-0.07219440844046442,0.09420616164940722,-0.042278545827407976,0.04630430945582089,-0.04830175153605362,0.14060630380701053,0.1998452384574858
STZ10,0.1252587200559135,-0.09899282137529286,-0.013938673811005477,0.08338288628308062,0.034381964859221265,0.003857439434332781,0.029640000081263523,-0.05145420743028635,0.06409754999124541,-0.1376327846632955,0.11688301767169514
STZ11,0.03513094335380868,-0.133532388410565,-0.18173899589638992,0.07239182530254898,0.019339836153251216,0.07603964052799315,-0.06563622608637924,-0.1991157785437198,0.09678626234226899,-0.0471162926236748,0.09854473290372831
STZ12,-0.11348864546696819,-0.05590077063581346,0.04416464586164323,-0.041781293705778454,0.24579371829870392,0.14833710040457235,-0.05474415376636273,-0.13295360992622354,-0.2724668549967632,0.05347010515071113,-0.05719586944325872
STZ13,0.12137900722190015,-0.01325870355587453,0.10115662533494758,0.16839163664488394,0.04419462103185961,-0.0607071731997269,0.16608654194277125,0.11674692111627594,0.025559170596719555,0.2279732230155804,-0.08019145379315834
STZ14,0.049590136170451625,0.10499439807209901,0.03471260041368011,0.1928463078058703,0.16429719887961117,-0.02863685138136207,0.056539117751306024,0.17232698170714367,-0.006768269791840732,0.0842162456098781,0.06434146440842722
STZ15,0.027237578820348225,0.003165323079301224,0.026223478925600226,0.04676741139525004,0.011006298937903482,0.069637192594215,-0.26115568024607233,-0.1593044260201889,0.01421251327869094,0.11248591412918148,-0.08908246119408128
STZ16,-0.10807451343507701,-0.08431059099699963,0.08699688942557629,-0.045849990256784684,0.07083718783878731,-0.04101145114677302,0.06171974703777958,0.034729681292684174,-0.07501699966841739,0.013843413299144262,0.1308968911071861
STZ17,-0.01629709557346662,-0.0854496356381958,-0.033115964192076394,0.11057317068901157,0.14995119107380364,-0.10709126028244947,0.04349407411838681,-0.010998484391010036,-0.03618823365053348,0.19667774215737444,0.05456357368602615
STZ18,0.02575868512636135,0.0365963483061962,0.0480688527678348,-0.17996260381998505,-0.05403084882985028,-0.10965076414062427,-0.05722633016110151,0.05721071482292403,-0.04946395869564161,-0.10947628706994901,0.018314034638637487
STZ19,0.08334119454678712,-0.0010139641451222022,-0.07347501088880624,0.018185585502269935,-0.05131291570573324,-0.041923633473683795,-0.10606397317313972,0.08103221165111099,-0.15177450444794024,0.0034487009180673095,-0.10285667657795697
STZ20,-0.07085371375363564,0.04014186142205717,-0.03585079328927809,0.1012466836657921,-0.0056676914638852625,-0.10757974070890797,0.0883025745721643,0.16076969302029046,-0.06458596000780772,0.2688079344304645,0.039874558340599456
STZ21,0.10268622271708022,-0.021460570717400568,-0.05121818108902892,-0.018405041174850752,-0.0001712777859763368,-0.000636981060687302,-0.0326429653582759,-0.15163566880553564,-0.05463719983531064,-0.08611528081680363,-0.06238029124503987
STZ22,-0.14295586660010257,0.014261451317787936,-0.10250221883002415,0.0780323875716529,-0.006356205034423432,0.04308461360912648,-0.030850756729437646,-0.02153283358712361,-0.042239458132826355,0.07243234139770975,0.06328719302079384
STZ23,-0.1226765568166069,0.012704873132644677,-0.19347557289077996,-0.061151630094137516,0.0872998903028393,-0.05004172564614773,-0.1070390453927498,-0.19647116781454022,0.13761411445322566,0.0188329259205201,-0.04306996251654339
STZ24,0.04469397032197383,-0.10613876034787247,0.02993802363450626,-0.06923970630541967,0.14812934323559163,0.01863371859901365,0.1584009523635402,-0.04718031981342819,-0.05760985004917066,-0.021530685557289042,0.018755448737434594
STZ25,-0.2349509577882799,-0.051456219953262106,-0.09283618330089824,0.17375231152589082,0.21831465275823173,0.06976756278801922,-0.004344024859350605,0.08774348096972816,0.02511476436116681,0.003767710004438129,-0.0651899736725459
